楷飞喊,矫痢,扁措咯疙(傈眉)[斥],扁措咯疙(巢磊)[斥],扁措咯疙(咯磊)[斥],荤噶犬伏(傈眉),荤噶犬伏(巢磊),荤噶犬伏(咯磊),积粮磊(傈眉),积粮磊(巢磊),积粮磊(咯磊),沥瘤牢备(傈眉),沥瘤牢备(巢磊),沥瘤牢备(咯磊),醚积粮斥荐(傈眉),醚积粮斥荐(巢磊),醚积粮斥荐(咯磊),荤噶磊(傈眉),荤噶磊(巢磊),荤噶磊(咯磊)
4技,1973 斥,62.67114,58.71435,66.62403,0.00224,0.00234,0.00214,95191.9178,95148.8616,95242.44988,95085.3606,95037.47788,95140.71082,5965785.578,5586603.999,6345435.768,213.11441,222.76744,203.47812
4技,1974 斥,62.98527,58.95035,67.01629,0.00213,0.00224,0.00203,95318.41978,95275.96467,95367.97068,95216.74813,95169.46846,95271.11602,6003656.021,5616551.42,6391207.651,203.34329,212.99242,193.7093
4技,1975 斥,63.28915,59.18009,67.39431,0.00203,0.00213,0.00193,95441.6737,95399.80905,95490.26899,95344.67951,95298.00073,95398.08209,6040422.224,5645769.75,6435500.786,193.98839,203.61665,184.3738
4技,1976 斥,63.58323,59.40375,67.75883,0.00194,0.00204,0.00184,95561.76038,95520.47595,95609.42472,95469.24346,95423.16322,95521.69744,6076125.344,5674274.029,6478382.441,185.03384,194.62547,175.45456
4技,1977 斥,63.86796,59.62151,68.11054,0.00184,0.00194,0.00174,95678.75873,95638.04466,95725.51589,95590.52656,95545.04232,95642.04832,6110807.61,5702084.357,6519916.966,176.46434,186.00469,166.93514
4技,1978 斥,64.14379,59.83358,68.45013,0.00176,0.00186,0.00166,95792.74572,95752.59252,95838.61861,95708.6132,95663.72225,95759.21882,6144509.529,5729220.229,6560165.873,168.26503,177.74054,158.79957
4技,1979 斥,64.41111,60.04015,68.77822,0.00167,0.00177,0.00157,95903.79648,95864.19502,95948.80717,95823.5857,95779.28517,95873.29094,6177269.939,5755700.547,6599187.928,160.42156,169.81971,151.03245
4技,1980 斥,64.75458,60.34544,69.16083,0.0016,0.00168,0.00151,96176.37408,96147.10355,96210.26813,96099.56326,96066.29374,96137.45261,6227861.045,5802039.398,6653982.313,153.62164,161.61962,145.63105
4技,1981 斥,65.11051,60.69027,69.52872,0.00153,0.00159,0.00146,96430.98152,96410.81803,96455.03481,96357.45114,96333.93542,96384.8537,6278669.924,5851198.403,6706394.995,147.06076,153.76523,140.36223
4技,1982 斥,65.4626,61.04107,69.88288,0.00146,0.00151,0.0014,96668.78473,96656.62153,96684.15443,96598.41737,96583.49806,96616.54083,6328190.241,5900023.85,6756566.888,140.73473,146.24695,135.22719
4技,1983 斥,65.80703,61.38922,70.22425,0.00139,0.00144,0.00134,96890.87599,96885.71356,96898.61032,96823.55662,96816.18624,96833.49711,6376100.528,5947738.227,6804632.512,134.63874,139.05463,130.22643
4技,1984 斥,66.22971,61.83063,70.62477,0.00126,0.00132,0.00121,97231.96276,97190.06963,97278.99647,97170.52174,97126.05928,97220.12155,6439644.278,6009323.024,6870306.386,122.88203,128.02071,117.74985
4技,1985 斥,66.63733,62.26324,71.0048,0.00115,0.00121,0.00109,97535.7144,97464.83206,97612.96766,97479.66525,97405.92564,97559.77211,6499520.054,6068476.059,6930988.949,112.09831,117.81285,106.39108
